url,venue_name,phone,venue_highlights,guest_capacity,address
https://www.wedding-spot.com/venue/8429/26-bridge/,26 Bridge,718-310-3040,"2x award winner, BYO, Valet parking",240,26 Bridge Street
https://www.wedding-spot.com/venue/18060/millennium-hilton-new-york-one-un-plaza/,Millennium Hilton New York One UN Plaza,212-702-5003,"Upgraded rentals included, Rentals included, Valet parking",200,One UN Plaza
https://www.wedding-spot.com/venue/3184/cairnwood-estate/,Cairnwood Estate,215-947-2004,"3x award winner, Indoor and outdoor spaces, BYO",250,1005 Cathedral Road
https://www.wedding-spot.com/venue/15714/the-arts-ballroom/,The Arts Ballroom,215-621-8561,"Upgraded rentals included, Rentals included, Valet parking",230,1324 Locust Street
https://www.wedding-spot.com/venue/16831/prallsville-mills/,Prallsville Mills,609-397-3586,Indoor and outdoor spaces,150,33 Risler Street
https://www.wedding-spot.com/venue/3314/goggleworks-center-of-the-arts/,GoggleWorks Center of the Arts,610-374-4600 ext. 115,"Award winner, BYO, Valet parking",215,201 Washington Street
https://www.wedding-spot.com/venue/16087/the-german-society-of-pennsylvania/,The German Society of Pennsylvania,,"Indoor and outdoor spaces, BYO, Valet parking",200,611 Spring Garden Street
https://www.wedding-spot.com/venue/14198/the-benjamin-royal-sonesta-new-york/,The Benjamin Royal Sonesta New York,212-715-2500,"Indoor and outdoor spaces, Rentals included, Valet parking",100,125 East 50th Street
https://www.wedding-spot.com/venue/2498/the-st-regis-new-york/,The St. Regis New York,212-339-6743,"Rentals included, Valet parking",220,2 East 55th Street
https://www.wedding-spot.com/venue/16839/sheraton-lincoln-harbor-hotel/,Sheraton Lincoln Harbor Hotel,,"Upgraded rentals included, Rentals included",110,500 Harbor Blvd
https://www.wedding-spot.com/venue/17480/apa-hotel-woodbridge/,APA Hotel Woodbridge,,"Accommodation offered, Upgraded rentals included, Rentals included",350,120 Wood Avenue South
https://www.wedding-spot.com/venue/2292/smooth-sailing-celebrations/,Smooth Sailing Celebrations,973-715-1091,"Rehearsal dinner and bridal shower, Indoor and outdoor spaces, Upgraded rentals included",1200,Lincoln Harbor Marina
https://www.wedding-spot.com/venue/714/pleasantdale-chateau/,Pleasantdale Chateau,973-731-5600,"2x award winner, Indoor and outdoor spaces, Rentals included",350,757 Eagle Rock Avenue
https://www.wedding-spot.com/venue/12608/cape-cod-inn-motel/,Cape Cod Inn Motel,609-522-1177,"BYO, Valet parking",95,6109 Atlantic Avenue
https://www.wedding-spot.com/venue/11585/maggianos-little-italy-cherry-hill/,Maggiano's Little Italy- Cherry Hill,856-792-4480,,170,2000 New Jersey 38
https://www.wedding-spot.com/venue/11347/the-claridge-hotel/,The Claridge Hotel,609-487-4378,"Indoor and outdoor spaces, Rentals included, Valet parking",600,123 South Indiana Avenue
https://www.wedding-spot.com/venue/11114/porta-pizzeria-asbury-park/,Porta Pizzeria Asbury Park,732-740-1722,"Indoor and outdoor spaces, Rentals included, Valet parking",200,911 Kingsley Street
https://www.wedding-spot.com/venue/9937/the-windrift-avalon/,The Windrift- Avalon,609-368-5175 ext. 134,"Indoor and outdoor spaces, Valet parking",250,105 80th Street
https://www.wedding-spot.com/venue/9821/morven-museum-garden/,Morven Museum & Garden,609-826-1222,"Indoor and outdoor spaces, BYO",450,55 Stockton Street
https://www.wedding-spot.com/venue/9431/hopewell-valley-vineyards/,Hopewell Valley Vineyards,609-737-4465,"Indoor and outdoor spaces, Valet parking",400,46 Yard Road
https://www.wedding-spot.com/venue/9346/liberty-lake-picnic/,Liberty Lake Picnic,609-499-0432,"BYO, Rentals included, Valet parking",2500,1195 Florence Columbus Road
https://www.wedding-spot.com/venue/9190/tim-mcloones-supper-club/,Tim McLoone's Supper Club,732-774-1155,"Indoor and outdoor spaces, Valet parking",160,1200 Ocean Avenue
https://www.wedding-spot.com/venue/9165/leftys-tavern/,Lefty's Tavern,609-607-0707,"Indoor and outdoor spaces, Rentals included, Valet parking",170,547 North Main Street
https://www.wedding-spot.com/venue/9161/american-legion-post-129/,American Legion Post 129,732-551-2819,Valet parking,200,2025 Church Road
https://www.wedding-spot.com/venue/15477/the-rockleigh/,The Rockleigh,201-768-7171 ext. 121,"Award winner, Indoor and outdoor spaces",800,26 Paris Avenue
https://www.wedding-spot.com/venue/703/francescas-touch-of-class-premium-luxury-yachts/,Francesca's Touch of Class - Premium Luxury Yachts,917-968-0794,"Rehearsal dinner and bridal shower, Indoor and outdoor spaces, Rentals included",1200,West 41st Street
https://www.wedding-spot.com/venue/12618/lakewood-blueclaws-at-firstenergy-park/,Lakewood BlueClaws at FirstEnergy Park,732-901-7000 ext. 120,"Indoor and outdoor spaces, BYO, Valet parking",350,2 Stadium Way
https://www.wedding-spot.com/venue/2285/kimpton-eventi/,Kimpton Eventi,646-794-6838,"Award winner, Indoor and outdoor spaces, Upgraded rentals included",160,851 6th Avenue
https://www.wedding-spot.com/venue/3673/tarrytown-house-estate/,Tarrytown House Estate,914-591-3110,"Accommodation offered, Indoor and outdoor spaces, Rentals included",350,49 East Sunnyside Lane
https://www.wedding-spot.com/venue/14351/intercontinental-new-york-barclay/,InterContinental New York Barclay,,"Upgraded rentals included, Rentals included, Valet parking",350,111 East 48th Street
https://www.wedding-spot.com/venue/18149/the-lake-house-on-canandaigua/,The Lake House on Canandaigua,585-394-7805,"Indoor and outdoor spaces, Valet parking",200,770 South Main Street
https://www.wedding-spot.com/venue/15185/oheka-castle/,OHEKA CASTLE,631-659-1402,"Indoor and outdoor spaces, Rentals included",350,135 West Gate Drive
https://www.wedding-spot.com/venue/1696/mallard-island-yacht-club/,Mallard Island Yacht Club,908-681-9000,"Accommodation offered, Rentals included, Valet parking",250,1450 East Bay Avenue
https://www.wedding-spot.com/venue/1695/ashford-estate/,Ashford Estate,908-681-9000,"2x award winner, Rentals included, Valet parking",275,637 Province Line Road
https://www.wedding-spot.com/venue/1601/bonnet-island-estate/,Bonnet Island Estate,908-681-9000,"Award winner, Rentals included, Valet parking",250,2400 East Bay Avenue
https://www.wedding-spot.com/venue/1466/chart-house-atlantic-city/,Chart House Atlantic City,609-340-5031,"Rentals included, Valet parking",65,Golden Nugget Hotel & Casino
https://www.wedding-spot.com/venue/1219/seaview-a-dolce-hotel/,"Seaview, A Dolce Hotel",609-748-7648,"Award winner, Accommodation offered, Indoor and outdoor spaces",400,401 South New York Road
https://www.wedding-spot.com/venue/1215/the-breakers-on-the-ocean/,The Breakers on the Ocean,732-449-7700,"Award winner, Indoor and outdoor spaces, Rentals included",220,1507 Ocean Avenue
https://www.wedding-spot.com/venue/1197/the-smithville-inn/,The Smithville Inn,609-652-7777,"Indoor and outdoor spaces, Rentals included, Valet parking",170,1 North New York Road (Route 9)
https://www.wedding-spot.com/venue/1120/greate-bay/,Greate Bay,609-927-5071,"Award winner, Indoor and outdoor spaces, Rentals included",300,901 Mays Landing Road
https://www.wedding-spot.com/venue/1014/avalon-yacht-club/,Avalon Yacht Club,609-967-4444,"Indoor and outdoor spaces, Rentals included, Valet parking",225,704 7th Street
https://www.wedding-spot.com/venue/768/ocean-club-hotel/,Ocean Club Hotel,609-884-7000 ext. 702,"Indoor and outdoor spaces, Valet parking",150,1035 Beach Avenue
https://www.wedding-spot.com/venue/760/ron-jaworskis-valleybrook-country-club/,Ron Jaworski's Valleybrook Country Club,856-227-3171 ext. 3,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",220,200 Golfview Drive
https://www.wedding-spot.com/venue/750/the-shore-club/,The Shore Club,732-449-3666,"Indoor and outdoor spaces, Rentals included, Valet parking",250,700 Highway 71
https://www.wedding-spot.com/venue/749/battleground-country-club/,Battleground Country Club,732-462-7575,"Indoor and outdoor spaces, Valet parking",400,1 Covenhoven Road
https://www.wedding-spot.com/venue/746/linwood-country-club/,Linwood Country Club,609-927-6134,"Indoor and outdoor spaces, BYO, Rentals included",275,500 Shore Road
https://www.wedding-spot.com/venue/739/nicolosi-caterers/,Nicolosi Caterers,856-845-3437,"Indoor and outdoor spaces, Rentals included, Valet parking",400,1 Hessian Avenue
https://www.wedding-spot.com/venue/727/ron-jaworskis-ramblewood-country-club/,Ron Jaworski's Ramblewood Country Club,856-235-2118 ext. 12,"Award winner, Indoor and outdoor spaces, Valet parking",400,200 Country Club Parkway
https://www.wedding-spot.com/venue/700/the-gables-historic-inn-restaurant/,The Gables Historic Inn & Restaurant,917-836-3900,"Indoor and outdoor spaces, BYO, Upgraded rentals included",200,212 Centre Street
https://www.wedding-spot.com/venue/696/colts-neck-inn-steak-chop-house/,Colts Neck Inn Steak & Chop House,732-462-0383,"Indoor and outdoor spaces, Rentals included, Valet parking",180,"6 County Road, Route 537 West"
https://www.wedding-spot.com/venue/683/wildwoods-convention-center/,Wildwoods Convention Center,609-846-2664,"Indoor and outdoor spaces, Rentals included, Valet parking",1400,4501 Boardwalk
https://www.wedding-spot.com/venue/664/molly-pitcher-inn/,Molly Pitcher Inn,732-530-8200 ext. 155,"Accommodation offered, Indoor and outdoor spaces, Valet parking",300,88 Riverside Avenue
https://www.wedding-spot.com/venue/663/oyster-point-hotel/,Oyster Point Hotel,732-530-8200,"Rentals included, Valet parking",220,146 Bodman Place
https://www.wedding-spot.com/venue/661/the-grand-hotel/,The Grand Hotel,609-884-5611 ext. 519,"Indoor and outdoor spaces, Valet parking",300,1045 Beach Avenue
https://www.wedding-spot.com/venue/599/waters-edge-on-the-bay/,Waters Edge on the Bay,732-269-3000,"Award winner, Indoor and outdoor spaces, Rentals included",200,125 Bayview Avenue
https://www.wedding-spot.com/venue/598/crystal-ballroom-at-the-radisson-freehold/,Crystal Ballroom at the Radisson Freehold,732-780-3405,"Award winner, Indoor and outdoor spaces, Rentals included",1,50 Gibson Place
https://www.wedding-spot.com/venue/597/sterling-ballroom-at-the-doubletree-by-hilton-tinton-falls/,Sterling Ballroom at the DoubleTree by Hilton Tinton Falls,732-780-3405,"3x award winner, Indoor and outdoor spaces, Upgraded rentals included",1,700 Hope Road
https://www.wedding-spot.com/venue/596/atlantis-ballroom-at-the-days-hotel-toms-river-jersey-shore/,Atlantis Ballroom at the Days Hotel Toms River - Jersey Shore,732-780-3405,,1,290 Route 37 East
https://www.wedding-spot.com/venue/595/versailles-ballroom-at-the-ramada-toms-river/,Versailles Ballroom at the Ramada Toms River,732-719-1206,"Upgraded rentals included, Rentals included",1,2373 Route 9
https://www.wedding-spot.com/venue/594/windsor-ballroom-at-the-holiday-inn-east-windsor/,Windsor Ballroom at the Holiday Inn East Windsor,732-780-3405,"Award winner, Indoor and outdoor spaces, Upgraded rentals included",1,399 Monmouth Street
https://www.wedding-spot.com/venue/1780/moorestown-community-house/,Moorestown Community House,856-235-0326 ext. 10,"Indoor and outdoor spaces, BYO, Valet parking",200,16 East Main Street
https://www.wedding-spot.com/venue/6570/hilton-garden-inn-hamilton/,Hilton Garden Inn Hamilton,609-570-4160,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",200,800 US Highway 130
https://www.wedding-spot.com/venue/5201/updike-farmstead/,Updike Farmstead,609-921-6748 ext. 105,"Indoor and outdoor spaces, BYO, Valet parking",200,354 Quaker Road
https://www.wedding-spot.com/venue/4914/riverwinds-community-center/,RiverWinds Community Center,856-251-1410 ext. 110,"Indoor and outdoor spaces, BYO, Valet parking",500,1000 Riverwinds Drive
https://www.wedding-spot.com/venue/4909/bayonet-farm/,Bayonet Farm,732-946-2820 ext. 1224,"Indoor and outdoor spaces, BYO, Valet parking",200,41 Middle Town Road
https://www.wedding-spot.com/venue/4887/sayen-house-and-gardens/,Sayen House and Gardens,609-890-3874,"Award winner, Indoor and outdoor spaces, BYO",100,155 Hughes Drive
https://www.wedding-spot.com/venue/4784/parsonage-barn/,Parsonage Barn,609-802-4221,,80,3 Cranbury Neck Road
https://www.wedding-spot.com/venue/4763/the-cranbury-inn/,The Cranbury Inn,609-655-5595,"Rentals included, Valet parking",240,21 South Main Street
https://www.wedding-spot.com/venue/4656/aloft-mount-laurel/,Aloft Mount Laurel,856-234-1880,"Indoor and outdoor spaces, Rentals included, Valet parking",320,558 Fellowship Road
https://www.wedding-spot.com/venue/4592/doubletree-suites-by-hilton-mt-laurel/,DoubleTree Suites by Hilton Mt. Laurel,856-778-8999 ext. 423,"Indoor and outdoor spaces, Rentals included, Valet parking",220,515 Fellowship Road
https://www.wedding-spot.com/venue/4591/the-kove/,The Kove,856-546-0808,"Rentals included, Valet parking",200,20 West Atlantic Avenue
https://www.wedding-spot.com/venue/4574/salt-creek-grille-rumson/,Salt Creek Grille Rumson,732-933-9272,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",150,4 Bingham Avenue
https://www.wedding-spot.com/venue/13942/new-york-beach-club/,New York Beach Club,914-204-0550,"Indoor and outdoor spaces, Rentals included, Valet parking",800,1751 Ocean Boulevard
https://www.wedding-spot.com/venue/12938/one-if-by-land-two-if-by-sea/,"One if by Land, Two if by Sea",212-255-8649,"Rentals included, Valet parking",140,17 Barrow Street
https://www.wedding-spot.com/venue/13602/rooftop/,Rooftop,917-765-9616,Valet parking,100,Private Estate
https://www.wedding-spot.com/venue/16539/42west44/,42West44,212-382-6684,Rentals included,200,42 West 44th Street
https://www.wedding-spot.com/venue/10192/the-vineyards-at-aquebogue/,The Vineyards at Aquebogue,,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",300,978 NY-25
https://www.wedding-spot.com/venue/1271/old-field-club/,Old Field Club,631-751-0571 ext. 105,"Indoor and outdoor spaces, Rentals included, Valet parking",250,86 West Meadow Road
https://www.wedding-spot.com/venue/9840/the-inn-at-ragged-edge/,The Inn At Ragged Edge,717-496-8372,"Indoor and outdoor spaces, BYO, Valet parking",125,1090 Ragged Edge Road
https://www.wedding-spot.com/venue/285/the-view-at-oakdale/,The View at Oakdale,,"Indoor and outdoor spaces, Rentals included, Valet parking",220,3 Consuelo Place
https://www.wedding-spot.com/venue/12847/bowmans-hill-wildflower-preserve/,Bowman's Hill Wildflower Preserve,215-860-1859,"BYO, Valet parking",200,1635 River Road
https://www.wedding-spot.com/venue/4498/the-haddon-fortnightly/,The Haddon Fortnightly,856-428-9040,"BYO, Valet parking",250,301 Kings Highway East
https://www.wedding-spot.com/venue/4495/the-dutchmans-brauhaus/,The Dutchman's Brauhaus,609-494-6910,"Indoor and outdoor spaces, Rentals included, Valet parking",135,2500 East Bay Avenue
https://www.wedding-spot.com/venue/4390/the-marian-house-by-willow-sage-catering-and-events/,The Marian House by Willow & Sage Catering and Events,732-712-1287,"Indoor and outdoor spaces, BYO, Rentals included",275,507 Kings Highway South
https://www.wedding-spot.com/venue/4389/chalfonte-hotel/,Chalfonte Hotel,609-884-8409,"Indoor and outdoor spaces, Valet parking",175,301 Howard Street
https://www.wedding-spot.com/venue/4362/port-o-call-hotel/,Port-O-Call Hotel,800-334-4546 ext. 7352,"BYO, Valet parking",90,1510 Boardwalk
https://www.wedding-spot.com/venue/3166/sheraton-eatontown-hotel/,Sheraton Eatontown Hotel,732-542-6500,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",1,6 Industrial Way East
https://www.wedding-spot.com/venue/3100/e-lounge/,E Lounge,856-768-7666,"BYO, Rentals included, Valet parking",200,807 Rt 70 West
https://www.wedding-spot.com/venue/2694/carmines-atlantic-city/,Carmine's Atlantic City,212-221-3800 ext. 822,"Upgraded rentals included, Valet parking",150,The Quarter at Tropicana
https://www.wedding-spot.com/venue/2146/clarion-hotel-conference-center/,Clarion Hotel & Conference Center,732-341-6215,"Rentals included, Valet parking",200,815 Route 37 West
